5	18	1	10	11	100	
537	1	0	0	0	0	
537	1	0	0	0	0	
537	1	0	0	0	0	
537	1	0	0	0	0	
537	1	0	0	0	0	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
150	1	0	390	0	1	
670	670	999999	0	0	0	
20	100	999999	0	0	0	
180	440	999999	0	0	0	
490	80	999999	0	0	0	
240	290	999999	0	0	0	
180	240	999999	0	0	0	
140	120	999999	0	0	0	
40	390	999999	0	0	0	
320	300	999999	0	0	0	
70	290	999999	0	0	0	
400	480	999999	0	0	0	
670	670	0	0	0	0	
20	100	0	0	0	0	
180	440	0	0	0	0	
490	80	0	0	0	0	
240	290	0	0	0	0	
180	240	0	0	0	0	
140	120	0	0	0	0	
40	390	0	0	0	0	
320	300	0	0	0	0	
70	290	0	0	0	0	
400	480	0	0	0	0	
120	380	14	4	10	0	
320	170	19	10	9	0	
290	120	16	6	10	0	
250	200	18	14	4	0	
20	300	16	1	15	0	
310	460	14	9	5	0	
50	130	18	6	12	0	
130	360	12	4	8	0	
380	60	14	2	12	0	
290	110	20	7	13	0	
380	470	19	15	4	0	
90	470	20	3	17	0	
110	180	19	11	8	0	
170	310	18	9	9	0	
190	60	19	6	13	0	
120	70	18	10	8	0	
50	140	20	7	13	0	
400	360	20	18	2	0	
90	450	19	3	16	0	
240	430	15	8	7	0	
480	450	19	17	2	0	
500	130	18	4	14	0	
80	430	12	2	10	0	
420	230	19	10	9	0	
430	140	20	6	14	0	
430	60	19	2	17	0	
490	40	11	0	11	0	
350	410	16	13	3	0	
310	420	20	14	6	0	
190	240	17	13	4	0	
260	290	15	13	2	0	
430	470	19	17	2	0	
370	360	19	18	1	0	
300	30	11	1	10	0	
80	340	20	4	16	0	
180	400	12	5	7	0	
400	100	14	3	11	0	
40	270	19	2	17	0	
240	260	12	11	1	0	
410	170	20	8	12	0	
360	220	12	7	5	0	
60	60	20	20	0	0	
390	400	15	14	1	0	
180	290	16	9	7	0	
200	30	13	1	12	0	
270	30	15	1	14	0	
80	260	18	5	13	0	
130	370	19	6	13	0	
90	60	12	8	4	0	
30	280	19	2	17	0	
50	500	18	1	17	0	
50	280	20	3	17	0	
400	50	13	1	12	0	
160	280	17	9	8	0	
460	410	17	15	2	0	
360	460	11	8	3	0	
500	470	16	15	1	0	
290	410	16	11	5	0	
310	20	17	1	16	0	
300	110	16	5	11	0	
440	170	18	6	12	0	
10	30	16	5	11	0	
250	260	18	17	1	0	
490	110	19	4	15	0	
340	60	18	3	15	0	
300	120	17	6	11	0	
150	170	16	14	2	0	
300	400	13	9	4	0	
160	350	16	7	9	0	
310	420	15	11	4	0	
40	170	11	2	9	0	
30	500	15	0	15	0	
250	330	13	9	4	0	
430	300	16	11	5	0	
300	380	18	14	4	0	
370	490	15	11	4	0	
260	300	11	9	2	0	
210	470	14	6	8	0	
220	80	12	4	8	0	
220	170	16	12	4	0	
290	430	17	11	6	0	
30	420	17	1	16	0	
330	80	12	2	10	0	
310	200	14	9	5	0	
440	320	14	10	4	0	
140	390	15	5	10	0	
60	350	19	3	16	0	
90	340	16	4	12	0	
70	10	19	2	17	0	
490	320	12	7	5	0	
220	10	16	0	16	0	
500	210	11	4	7	0	
450	110	11	2	9	0	
360	450	14	11	3	0	
250	40	17	2	15	0	
500	180	15	5	10	0	
210	500	17	7	10	0	
320	490	20	13	7	0	
380	10	15	0	15	0	
430	280	12	7	5	0	
